Ano,Trimestre,Departamento,Municipio,N Accesos fijos a internet,poblacion Dane,Indice
2018,4,MAGDALENA,ARACATACA,561,39857,0.0141
2019,1,CUNDINAMARCA,NILO,250,11441,0.0219
2019,4,CUNDINAMARCA,NEMOCON,229,13868,0.0165
2019,1,QUINDIO,ARMENIA,73813,300194,0.2459
2020,1,BOLIVAR,MAGANGUE,9786,140156,0.0698
2019,2,AMAZONAS,PUERTO ALEGRIA,1,759,0.0013
2019,2,RISARALDA,QUINCHIA,616,27235,0.0226
2018,4,BOLIVAR,MOMPOS,1332,44442,0.03
2018,3,BOLIVAR,CORDOBA,155,15960,0.0097
2018,4,MAGDALENA,SITIONUEVO,14,27128,5e-04
2019,1,BOYACA,BERBEO,39,1587,0.0246
2019,4,SANTANDER,PARAMO,20,4773,0.0042
2018,4,CUNDINAMARCA,LA MESA,2347,32694,0.0718
2019,3,CAUCA,CAJIBIO,188,42439,0.0044
2018,3,BOYACA,RONDON,48,2407,0.0199
2018,3,AMAZONAS,MIRITI - PARANA,0,1850,0
2019,4,LA GUAJIRA,BARRANCAS,934,37170,0.0251
2018,4,CUNDINAMARCA,SASAIMA,327,10711,0.0305
2019,1,CORDOBA,VALENCIA,909,36042,0.0252
2019,2,MAGDALENA,ZAPAYAN,14,10293,0.0014
2019,2,CUNDINAMARCA,PANDI,171,5146,0.0332
2018,3,SANTANDER,LA PAZ,46,4953,0.0093
2019,1,SANTANDER,VETAS,27,2142,0.0126
2018,3,NARINO,LOS ANDES,12,9547,0.0013
2020,1,NARINO,ANCUYA,19,8603,0.0022
2020,1,VALLE DEL CAUCA,RESTREPO,210,15304,0.0137
2019,2,CAUCA,GUAPI,23,27619,8e-04
2018,3,BOYACA,OICATA,43,2821,0.0152
2019,1,HUILA,LA PLATA,2051,61735,0.0332
2018,3,CALDAS,ANSERMA,1828,36149,0.0506
2018,3,PUTUMAYO,PUERTO ASIS,6790,64867,0.1047
2018,3,LA GUAJIRA,FONSECA,2450,42772,0.0573
2020,1,CUNDINAMARCA,UTICA,48,4434,0.0108
2019,4,VAUPES,YAVARATE,1,1067,9e-04
2019,4,BOYACA,COVARACHIA,16,2742,0.0058
2020,1,NORTE DE SANTANDER,ARBOLEDAS,92,10056,0.0091
2018,3,SANTANDER,RIONEGRO,215,26438,0.0081
2019,3,SANTANDER,SUCRE,51,7103,0.0072
2019,3,CUNDINAMARCA,ANOLAIMA,379,14161,0.0268
2019,2,CUNDINAMARCA,SOACHA,117354,709276,0.1655
2019,3,SUCRE,SINCELEJO,37035,286635,0.1292
2019,2,CUNDINAMARCA,PASCA,69,9341,0.0074
2018,3,BOYACA,COPER,79,3619,0.0218
2018,3,CAUCA,SUCRE,18,9489,0.0019
2019,4,MAGDALENA,PLATO,1725,63026,0.0274
2018,3,CORDOBA,AYAPEL,1449,46968,0.0309
2019,3,SANTANDER,MOLAGAVITA,47,4105,0.0114
2018,3,VALLE DEL CAUCA,ZARZAL,4842,41925,0.1155
2019,2,VICHADA,LA PRIMAVERA,50,9799,0.0051
2020,1,CUNDINAMARCA,COGUA,1994,24434,0.0816
2019,4,MAGDALENA,SITIONUEVO,18,28254,6e-04
2019,3,ANTIOQUIA,BELMIRA,340,6054,0.0562
2018,3,CUNDINAMARCA,TOCAIMA,963,15735,0.0612
2018,3,VALLE DEL CAUCA,TRUJILLO,784,19226,0.0408
2020,1,ANTIOQUIA,PUEBLORRICO,421,8735,0.0482
2019,4,ANTIOQUIA,CARAMANTA,305,4670,0.0653
2018,3,ANTIOQUIA,FRONTINO,1147,20739,0.0553
2020,1,CESAR,MANAURE,179,10835,0.0165
2019,4,BOLIVAR,SAN ESTANISLAO,54,18729,0.0029
2020,1,VALLE DEL CAUCA,ARGELIA,243,5177,0.0469
2019,4,VALLE DEL CAUCA,RIOFRIO,66,15483,0.0043
2018,3,HUILA,TARQUI,277,17440,0.0159
2019,1,ANTIOQUIA,SAN VICENTE,788,22258,0.0354
2019,4,CUNDINAMARCA,VILLAGOMEZ,21,1783,0.0118
2020,1,CAUCA,GUAPI,187,27696,0.0068
2020,1,SANTANDER,ALBANIA,8,4336,0.0018
2019,2,ANTIOQUIA,CAICEDO,256,8420,0.0304
2019,2,ARAUCA,CRAVO NORTE,240,4042,0.0594
2020,1,CUNDINAMARCA,ARBELAEZ,431,10959,0.0393
2020,1,AMAZONAS,PUERTO ARICA,6,1042,0.0058
2018,3,CUNDINAMARCA,MANTA,50,3737,0.0134
2019,2,ANTIOQUIA,BURITICA,454,9502,0.0478
2019,1,LA GUAJIRA,DIBULLA,35,40051,9e-04
2019,1,NARINO,LA FLORIDA,74,9985,0.0074
2019,3,NORTE DE SANTANDER,CUCUTA,104194,749197,0.1391
2019,1,CHOCO,NOVITA,32,9116,0.0035
2019,2,MAGDALENA,SANTA ANA,22,25750,9e-04
2018,3,BOLIVAR,EL GUAMO,85,8647,0.0098
2019,4,SANTANDER,EL PLAYON,85,13882,0.0061
2018,4,BOYACA,COVARACHIA,36,2806,0.0128
2019,4,ATLANTICO,PUERTO COLOMBIA,5967,51695,0.1154
